,City,State,Country,Update,Latitude,Longitude,Confirmed,Deaths,Recovered
312,,,Mainland China,2020-02-15 11:23:17,,,162.0,4.0,39.0
313,,,Mainland China,2020-02-15 14:53:04,,,143.0,1.0,41.0
314,,,Mainland China,2020-02-15 23:13:05,,,128.0,0.0,46.0
315,,,Mainland China,2020-02-15 13:43:01,,,122.0,3.0,37.0
316,,,Mainland China,2020-02-15 09:53:01,,,119.0,1.0,31.0
317,,,Mainland China,2020-02-15 12:13:08,,,90.0,2.0,49.0
318,,,Mainland China,2020-02-15 12:13:08,,,88.0,1.0,26.0
319,,,Singapore,2020-02-15 23:53:02,,,72.0,0.0,18.0
320,,,Mainland China,2020-02-15 08:43:03,,,70.0,0.0,33.0
321,,,Mainland China,2020-02-15 09:53:01,,,70.0,1.0,10.0
322,,,Mainland China,2020-02-15 14:03:04,,,68.0,0.0,7.0
323,,,Hong Kong,2020-02-14 09:03:12,,,56.0,1.0,1.0
324,,,Japan,2020-02-15 17:43:06,,,43.0,1.0,12.0
325,,,Thailand,2020-02-13 17:53:03,,,33.0,0.0,12.0
326,,,South Korea,2020-02-15 23:33:02,,,28.0,0.0,9.0
327,,,Malaysia,2020-02-15 23:43:02,,,22.0,0.0,7.0
328,,,Mainland China,2020-02-15 08:43:03,,,18.0,0.0,13.0
329,,,Taiwan,2020-02-15 03:43:02,,,18.0,0.0,2.0
330,,,Germany,2020-02-13 15:13:11,,,16.0,0.0,1.0
331,,,Vietnam,2020-02-13 06:33:02,,,16.0,0.0,7.0
332,,,France,2020-02-15 20:53:02,,,12.0,1.0,4.0
333,,,Macau,2020-02-13 14:13:06,,,10.0,0.0,3.0
334,,,UK,2020-02-12 19:03:06,,,9.0,0.0,1.0
335,,,United Arab Emirates,2020-02-15 06:03:03,,,8.0,0.0,3.0
336,,,Australia,2020-02-09 19:33:02,,,5.0,0.0,0.0
337,,,Australia,2020-02-13 17:53:03,,,4.0,0.0,4.0
338,,,Australia,2020-02-13 17:53:03,,,4.0,0.0,4.0
339,,,Canada,2020-02-07 05:43:03,,,4.0,0.0,0.0
340,,,India,2020-02-13 18:53:02,,,3.0,0.0,0.0
341,,,Italy,2020-02-07 17:53:02,,,3.0,0.0,0.0
342,,,Philippines,2020-02-12 07:43:02,,,3.0,1.0,1.0
343,,,Australia,2020-02-02 22:33:07,,,2.0,0.0,0.0
344,,,Canada,2020-02-04 00:13:06,,,2.0,0.0,0.0
345,,,Russia,2020-02-12 14:43:03,,,2.0,0.0,2.0
346,,,Spain,2020-02-15 17:23:04,,,2.0,0.0,2.0
347,,,US,2020-02-09 19:03:03,,,2.0,0.0,2.0
348,,,US,2020-02-03 03:53:02,,,2.0,0.0,0.0
349,,,US,2020-02-13 03:13:08,,,2.0,0.0,0.0
350,,,US,2020-02-03 00:43:02,,,2.0,0.0,0.0
351,,,Belgium,2020-02-04 15:43:02,,,1.0,0.0,0.0
352,,,Cambodia,2020-02-12 07:43:02,,,1.0,0.0,1.0
353,,,Canada,2020-02-12 18:53:03,,,1.0,0.0,1.0
354,,,Egypt,2020-02-14 23:53:02,,,1.0,0.0,0.0
355,,,Finland,2020-02-12 00:03:12,,,1.0,0.0,1.0
356,,,Mainland China,2020-02-12 06:43:02,,,1.0,0.0,1.0
357,,,Nepal,2020-02-12 14:43:03,,,1.0,0.0,1.0
358,,,Sri Lanka,2020-02-08 03:43:03,,,1.0,0.0,1.0
359,,,Sweden,2020-02-01 02:13:26,,,1.0,0.0,0.0
360,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
361,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
362,,,US,2020-02-05 21:53:02,,,1.0,0.0,0.0
363,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
364,,,US,2020-02-13 18:53:02,,,1.0,0.0,0.0
365,,,US,2020-02-09 07:03:04,,,1.0,0.0,1.0
366,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
367,,,Mainland China,2020-02-11 23:33:02,,,33366.0,1068.0,2639.0
